rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,sigma_Ab,sigma_1,sigma_2,group
59,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
60,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
61,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
62,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
63,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
64,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
65,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
66,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
67,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
68,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
69,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
70,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
71,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
72,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
73,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
74,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
75,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
76,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
77,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
78,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
79,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
80,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
81,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
82,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
83,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
84,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
85,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
86,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
87,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
88,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
89,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
90,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
91,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
92,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
93,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
94,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
95,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
96,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
97,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
98,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
99,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
100,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,1.5,0.23,0.1,0.1,simulationGroup1
